,person_id,id,name,character,role
0,3748,tm84618,Robert De Niro,Travis Bickle,ACTOR
1,14658,tm84618,Jodie Foster,Iris Steensma,ACTOR
2,7064,tm84618,Albert Brooks,Tom,ACTOR
3,3739,tm84618,Harvey Keitel,Matthew 'Sport' Higgins,ACTOR
4,48933,tm84618,Cybill Shepherd,Betsy,ACTOR
5,32267,tm84618,Peter Boyle,Wizard,ACTOR
6,519612,tm84618,Leonard Harris,Senator Charles Palantine,ACTOR
7,29068,tm84618,Diahnne Abbott,Concession Girl,ACTOR
8,519613,tm84618,Gino Ardito,Policeman at Rally,ACTOR
9,3308,tm84618,Martin Scorsese,Passenger Watching Silhouette,ACTOR
10,43791,tm84618,Murray Moston,Iris' Time Keeper,ACTOR
11,519614,tm84618,Richard Higgs,Secret Service Agent,ACTOR
12,519615,tm84618,Bill Minkin,Tom's Assistant (uncredited),ACTOR
13,82426,tm84618,Bob Maroff,Mafioso (uncredited),ACTOR
14,20935,tm84618,Victor Argo,"Melio, Delicatessen Owner",ACTOR
15,7753,tm84618,Joe Spinell,Personell Officer,ACTOR
16,43279,tm84618,Robinson Frank Adu,Angry Black Man (uncredited),ACTOR
17,519616,tm84618,Brenda Dickson,Soap Opera Woman (uncredited),ACTOR
18,8424,tm84618,Norman Matlock,Charlie T,ACTOR
19,20447,tm84618,Harry Northup,Doughboy,ACTOR
20,519618,tm84618,Harlan Cary Poe,Campaign Worker (uncredited),ACTOR
21,49567,tm84618,Steven Prince,Andy - Gun Salesman,ACTOR
22,15551,tm84618,Peter Savage,The John,ACTOR
23,475303,tm84618,Nicholas Shields,Palantine's Aide (uncredited),ACTOR
24,43540,tm84618,Ralph S. Singleton,T.V. Interviewer (uncredited),ACTOR
25,466061,tm84618,Annie Gagen,Campaign Worker (uncredited),ACTOR
26,212023,tm84618,Carson Grant,Political rallier (uncredited),ACTOR
27,5367,tm84618,Mary-Pat Green,Campaign Aide (uncredited),ACTOR
28,17421,tm84618,Debbi Morgan,Girl at Columbus Circle (uncredited),ACTOR
29,38141,tm84618,Don Stroud,Policeman (uncredited),ACTOR
30,811415,tm84618,Copper Cunningham,Hooker in Cab,ACTOR
31,1141852,tm84618,Garth Avery,Iris' friend,ACTOR
32,1662310,tm84618,Nat Grant,Stick-aup Man,ACTOR
33,1393387,tm84618,Billie Perkins,Iris' Friend (uncredited),ACTOR
34,9446,tm84618,Catherine Scorsese,Iris' Mother (newspaper article) (uncredited),ACTOR
35,9451,tm84618,Charles Scorsese,Iris' Father (newspaper article) (uncredited),ACTOR
37,10103,tm154986,Jon Voight,Ed Gentry,ACTOR
38,13020,tm154986,Burt Reynolds,Lewis Medlock,ACTOR
39,6639,tm154986,Ned Beatty,Bobby Trippe,ACTOR
40,11224,tm154986,Ronny Cox,Drew Ballinger,ACTOR
41,24509,tm154986,Ed Ramey,Old Man at the Gas-Station,ACTOR
42,80069,tm154986,Billy Redden,Lonnie - The Banjo Boy,ACTOR
43,84032,tm154986,Seamon Glass,First Griner,ACTOR
44,84031,tm154986,Randall Deal,Second Griner,ACTOR
45,7918,tm154986,Bill McKinney,Mountain Man,ACTOR
46,197405,tm154986,Herbert 'Cowboy' Coward,Toothless Man,ACTOR
47,618692,tm154986,Lewis Crone,First Deputy,ACTOR
